id,name,manaCost,colors,type,power,toughness,artist,keywords,originalText,flavorText
1,"Air Response Unit","{2}{W}","W","Artifact — Vehicle","3","3","Brock Grossman","Crew,Flying,Vigilance","Flying, vigilance\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)","Wherever the racers go, help follows."
2,"Alacrian Armory","{3}{W}","W","Artifact","","","Artur Nakhodkin","","Creatures you control get +0/+1 and have vigilance.\nAt the beginning of combat on your turn, choose up to one target Mount or Vehicle you control. Until end of turn, that permanent becomes saddled if it's a Mount and becomes an artifact creature if it's a Vehicle.",""
3,"Basri, Tomorrow's Champion","{W}","W","Legendary Creature — Human Knight","2","1","Kai Carpenter","Cycling","{W}, {T}, Exert Basri: Create a 1/1 white Cat creature token with lifelink. (An exerted creature won't untap during your next untap step.)\nCycling {2}{W} ({2}{W}, Discard this card: Draw a card.)\nWhen you cycle this card, Cats you control gain hexproof and indestructible until end of turn.",""
4,"Brightfield Glider","{W}","W","Creature — Possum Mount","1","1","Andreia Ugrai","Saddle,Vigilance","Vigilance\nWhenever this creature attacks while saddled, it gets +1/+2 and gains flying until end of turn.\nSaddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",""
5,"Brightfield Mustang","{3}{W}","W","Creature — Horse Mount","3","3","Slawomir Maniak","Saddle","Whenever this creature attacks while saddled, untap it and put a +1/+1 counter on it.\nSaddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",""
6,"Broadcast Rambler","{4}{W}","W","Artifact — Vehicle","5","4","Ioannis Fiore","Crew","When this Vehicle enters, create a 1/1 colorless Thopter artifact creature token with flying.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)","To keep up with the Grand Prix, reporters trained just as hard as the racers themselves."
7,"Bulwark Ox","{1}{W}","W","Creature — Ox Mount","2","2","Brent Hollowell","Saddle","Whenever this creature attacks while saddled, put a +1/+1 counter on target creature.\nSacrifice this creature: Creatures you control with counters on them gain hexproof and indestructible until end of turn.\nSaddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",""
8,"Canyon Vaulter","{1}{W}","W","Creature — Kor Pilot","3","1","David Astruga","","Whenever this creature saddles a Mount or crews a Vehicle during your main phase, that Mount or Vehicle gains flying until end of turn.","Some seek thrills in watching the show. Some seek thrills in being the show."
9,"Cloudspire Captain","{2}{W}","W","Creature — Human Pilot","2","3","Manny Edeko","","Mounts and Vehicles you control get +1/+1.\nThis creature saddles Mounts and crews Vehicles as though its power were 2 greater.","Cloudspire's might comes from its unparalleled coordination."
10,"Collision Course","{1}{W}","W","Sorcery","","","Konstantin Porubov","","Choose one —\n• Collision Course deals X damage to target creature, where X is the number of permanents you control that are creatures and/or Vehicles.\n• Destroy target artifact.","""These gators are driving like idiots!""\n—Redshift"
11,"Daring Mechanic","{2}{W}","W","Creature — Human Artificer","3","3","Elizabeth Peiró","","{3}{W}: Put a +1/+1 counter on target Mount or Vehicle.","""Just a few more bolts—SHARK ON YOUR RIGHT—and we should be good to go."""
12,"Detention Chariot","{4}{W}{W}","W","Artifact — Vehicle","6","6","Adrián Rodríguez Pérez","Crew,Cycling","When this Vehicle enters, exile target artifact or creature an opponent controls until this Vehicle leaves the battlefield.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)\nCycling {W} ({W}, Discard this card: Draw a card.)",""
13,"Gallant Strike","{1}{W}","W","Instant","","","Brent Hollowell","Cycling","Destroy target creature with toughness 4 or greater.\nCycling {2} ({2}, Discard this card: Draw a card.)","The ghost shrieked as Terrin's blade sank deep. Perhaps a second death would teach it not to mess with his dog."
14,"Gloryheath Lynx","{1}{W}","W","Creature — Cat Mount","2","3","Deruchenko Alexander","Lifelink,Saddle","Lifelink\nWhenever this creature attacks while saddled, search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.\nSaddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",""
15,"Guardian Sunmare","{3}{W}{W}","W","Creature — Horse Mount","5","5","Christina Kraus","Saddle,Ward","Ward {2}\nWhenever this creature attacks while saddled, search your library for a nonland permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.\nSaddle 4",""
16,"Guidelight Synergist","{3}{W}","W","Artifact Creature — Robot Artificer","0","4","Camille Alquier","Flying","Flying\nThis creature gets +1/+0 for each artifact you control.","""Declarative: A unit is only as strong as its network."""
17,"Interface Ace","{1}{W}","W","Artifact Creature — Robot Pilot","0","4","Wonchun Choi","","This creature saddles Mounts and crews Vehicles using its toughness rather than its power.\nWhenever this creature becomes tapped during your turn, untap it. This ability triggers only once each turn.","To the Guidelight Voyagers, a vehicle is just another hardware upgrade."
